"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"PHD78","N/D","SCS1","Deputy Director - Obesity and Diabetes","Deputy Director - 0-5 programme","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-019","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-012","Marion Furr","SCS2","Director Ministerial Business & Parliamentary Accountability","'Responsible for managing DH’s corporate accountability to Parliament and the public. Specifically to support Ministers by managing and maintaining private offices to respond to all correspondence and FoI requests from MPs and the public to respond to all PQs and Parliamentary Business to process the Queens Honours nominations from the NHS and other health and social care organisations and DH employees.'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-005","2781519","0.67","60000","64999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"FN144","N/D","SCS1","Deputy Director - Delivery Team","Delivery Against NHS Performance","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN131","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-121","N/D","SCS1","Deputy Director - Head of Internal Audit","'Responsible for - Delivering an Internal Audit function for the health family group through a shared service. Ensuring audit plans are in place and delivered for DH and its ALBs, giving confidence that assurance is in place for the system as a whole. Ensuring audit work meets the Public Sector Internal Audit quality standards.'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","1.00","85000","89999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-GFM-2008","N/D","SCS1","Deputy Director-Finance Operations","Responsible for the provision of Corporate Finance services including: Payroll, Expenses (including taxation), Accounts payable/receivable Losses and special payments, Government procurement card, DH finance system support reports training and transactions.'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","1.00","85000","89999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-2310","N/D","SCS1","Deputy Director Quality, CQC and Investigation Policy","Supporting the health and social care system in England to improve the quality of care by developing a strategic overview informed by high-quality evidence and analysis about the state of care; developing policy proposals about patient safety and compassionate care; ensuring the commitment to respond positively to the Francis report continues and measures are in place to deliver specific commitments, focusing on patients, carers, families and staff before structures, systems and processe; supporting the alignment of quality assurance processes across the sector; supporting effective sponsorship of CQC and developing their legislative and policy framework'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-1945","1027260","0.91","80000","84999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-074","N/D","SCS1","Deputy Director for Mental Health Policy &  Strategy","'Providing leadership and strategic direction for mental health & disability policy including offender mental health, secure services and migrant health.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-026","0","1.00","85000","89999","","Policy","Cost of reports added to SC-026 http://guidance.data.gov.uk/organogram-data.html","1"
"SC-024","N/D","SCS1","Deputy Director - Strategic Policy & Finance","'Leadership of the Social Care Strategic Policy and Finance branch, focussing on policy to ensure there is a sustainable financial framework for social care, in the short and long term, to enable local authorities and their partners to deliver high quality services; and providing analytical support for evidence-based policy across the Directorate. This includes the spending review and efficiency, the Care Services Efficiency Delivery Programme, together with policy to support greater local integration between health and social care.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-023","607831","0.72","60000","64999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN145","N/D","SCS1","Deputy Director - Growth, Policy and Customer Relations","Responsible for new commercial strategy and advising Ministers and key policy teams across the Department on the commercial options, impacts and risks of Departmental policies and approaches to commercial implementation.
In particular, developing growth opportunities, and innovative funding proposals to generate income from commercial deals, acting as the commercial gateway to the Academic Health Science Networks (AHSNs) and Innovation Hubs.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-033","0","0.82","70000","74999","","Policy","Cost of reports added to FN-PICD-033 http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2366","N/D","SCS1","Deputy Director - Genomics","Genomics","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT2355","285543","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-FP-111","N/D","SCS1","Deputy Director of Financial Policy & Strategy","Spending Review, budget setting, policy affordability and managing financial risks.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-FP-030","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-212","N/D","SCS1","Deputy Director - Local Government and Regional Policy","'Responsible for NHS and local government integration, enhancing leadership and providing a local government perspective in the Department, strengthening the performance framework and improving the quality and performance of social care.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-023","393667","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2357","VACANT","SCS1","Deputy Director - Community Pharmacy","Community Pharmacy","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT-028","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-GFM-099","N/D","SCS1","Deputy Director - Provider Finance","Responsible for Provider Finance","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","0.95","80000","84999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-NHSG-2025","N/D","SCS1","Deputy Director - NHS Efficiency","Responsible for policy on NHS Efficiency","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-NHSG-031","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC2250","ELIMINATED","SCS1","Head of Dementia Innovation Unit","Leadership of the Dementia Innovation Unit","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","N/A","N/D","SC-003","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2368","ELIMINATED","SCS1","Head of Accelerated Access Review","Head of Accelerated Access Review team","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT2355","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"RDD-041","N/D","SCS1","Deputy Director - Research Finance & Programmes","Responsible for - commissioning research to inform DH and ALB policy; providing research evidence to underpin decisions about healthcare, public health and social care by professionals, patients and the public; supporting world-class researchers, conducting leading-edge research focused on patients and the public; discharging the responsibilities via the DH Policy Research Programme, and through NIHR research programmes; oversight of policy for commissioning, managing and funding research'","Department of Health","Department of Health","Research & Development Directorate","020 7210 4850","N/D","RDD-009","1096131","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-FP-2082","N/D","SCS1","Deputy Director - Performance Insight","Reporting on NHS performance.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-FP-030","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-086","N/D","SCS1","Deputy Director - Social Care Policy & Legislation","'Responsible for Social Care policy and legislation'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-023","566632","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-2249","ELIMINATED","SCS1","Deputy Director - Prevention, Integration and Ageing","'Leadership of the Older People and Dementia branch, focussing on improving the delivery of quality outcomes in health and social care services, to enable older people to live healthy, fulfilling and independent lives. This includes providing evidence, highlighting good practice, encouraging prevention and early intervention, together with support for the implementation of the National Dementia Strategy, and responsibility for NHS continuing healthcare, land long-term neurological conditions.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","N/A","N/D","SC-023","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-118","N/D","SCS1","Deputy Director - Pricing, Prescriptions and Supply","'Responsible for policy on medicines pricing, including the pharmaceutical price regulation scheme, value based pricing, medicines supply and prescription charges.'","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-028","1097858","0.92","80000","84999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-049","ELIMINATED","SCS1","Head of Workplace Operations","'Responsible for - Providing operational business critical services across Estates; Facilities and Information Services both for DH/ALBs with a focus on continual service improvement'","Department of Health","Department of Health","Group Operations","N/A","N/D","IGO-016","0","1.00","0","0","","Information Technology","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD80","N/D","SCS1","Deputy Director - Emergency Preparedness, Resilience and Response","Deputy Director - Emergency Preparedness, Resilience and Response","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-020","545200","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-073","N/D","SCS1","Deputy Director EPRR Threats","Deputy Director EPRR Treats","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-020","456967","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO2186","N/D","SCS1","Deputy Director - Implementation Unit","Responsible for - Tracking the implementation of the top strategic priorities, undertake regular problem solving deep dives to identify risk and find solutions; Building capability across implementation techniques and best practice","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO2185","0","1.00","85000","89999","","Operational Delivery","Cost of reports added to IGO2185 http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-101","N/D","SCS1","Deputy Director - Clinical & Cost Effectiveness","'Responsible for policy relating to prescribing issues, the Cancer Drugs Fund and sponsorship of the National Institute for Health and Clinical Excellence.'","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-028","766021","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-080","N/D","SCS1","Deputy Director -  Dementia ( domestic)","'Leadership of the Older People and Dementia branch, focussing on improving the delivery of quality outcomes in health and social care services, to enable older people to live healthy, fulfilling and independent lives. This includes providing evidence, highlighting good practice, encouraging prevention and early intervention, together with support for the implementation of the National Dementia Strategy, and responsibility for NHS continuing healthcare, land long-term neurological conditions.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-026","533780","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-056","N/D","SCS1","Principal Private Secretary - Office of the Permanent Secretary","'Overview of all areas, Secretay of State and No.10 issues, Communications, DH finance & senior personnel, Departmental Capability, Governance'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-012","607272","1.00","85000","89999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2360","ELIMINATED","SCS1","Deputy Director, Sector Policy","Office for Life Sciences, Sector Policy","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT2355","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-087","N/D","SCS1","Deputy Director - Integration","'Providing leadership and Strategic direction on the integration programnme'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-023","0","1.00","85000","89999","","Policy","Cost of reports added to SC-023 http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-2170","ELIMINATED","SCS1","Deputy Director Information and Legal, Legacy Management Team","'Responsible for: Leading the teams reponsible for Reviews and Information, Litigation and Transfer Scheme modification'","Department of Health","Department of Health","Group Operations","N/A","N/D","IGO-015","0","1.00","0","0","","Programme and Project Management (PPM)","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-NHSG-117","N/D","SCS1","Deputy Director - Legislation, Constitution & Policy Improvement","'Responsible for legislation and NHS Constitution policy, including the Health and Social Care Bill Secondary legislation '","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-NHSG-031","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-1957","N/D","SCS1","Deputy Director - Connecting Voices and Insight","Continuation of the Connecting Programme; Citizen Voice and Insight stewardship and policy leadership on patient and public involvement and leading policy and legislation on NHS complaints handling to ensure that the voice of patients and citizens is heard across the health and care system and insights are acted on.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-1945","640421","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-NHSG-2023","N/D","SCS1","Deputy Director of NHS Policy and Strategy Unit","The Unit has two teams - the strategy team and the delivery team. The strategy team uses their overview of work across the NHS to identify future challenges within the system, and identifies the work that is needed to meet them. The delivery team ensures that senior officials and ministers have an up-to-date knowledge of performance against key delivery objectives (such as the PM/DPM commitments), and drives the effort to make sure that key commitments are made.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-NHSG-031","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2361","N/D","SCS1","Deputy Director - Policy & Strategy","Information and Digital Services - Policy & Strategy","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-010","663663","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-1831","ELIMINATED","SCS1","Deputy Director of Governance Unit","'Responsible for - Management of the DH Secretariat which provides support to the Departmental Board and its committees. Overseeing the Board’s development and liaison with non-executive directors. Developing risk and assurance methodology for DH and its ALBs. Overseeing DH governance.'","Department of Health","Department of Health","Group Operations","N/A","N/D","IGO-015","0","1.00","0","0","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-283","ELIMINATED","SCS1","Deputy Director of Strategy","'Provide support to DH and its Arm's Length Bodies to address the medium to long term strategic challenge. Build strategic and horizon scanning capabilities across DH'","Department of Health","Department of Health","Group Operations","N/A","N/D","IGO2185","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-088","N/D","SCS1","Deputy Director - Equalities and Social Inclusion","'Responsible for Health Inequalities & Local Improvement programme team, Joint Strategic Needs Assessment Development Policy, Health Inequalities Network, Inclusion Health Policy, Local Improvement.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-022","0","0.94","80000","84999","","Policy","Cost of reports added to SC-022 http://guidance.data.gov.uk/organogram-data.html","1"
"SER-2433N","N/D","SCS1","Deputy Director, Secretary to the Gosport Investigation","Oversee the maximum possible public disclosure of all relevant information relating to unexpected deaths and treatment at the Gosport War Memorial Hospital; consult with families to ensure that the views of those affected are taken into consideration; obtain, examine and analyse documentation from all relevant organisations and individuals; manage the process of public disclosure and produce a report  which adds to public understanding and an on-line archive with supporting evidence","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-1945","670645","1.00","85000","89999","","Other","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-FP-098","N/D","SCS1","Deputy Director of Financial Planning, Monitoring and Analysis","Managing DH relationship with HMT on all public expenditure issues, Efficiency, Public Expenditure Inquiry (PEI), and Spending Review.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-FP-030","0","1.00","85000","89999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2352","ELIMINATED","SCS1","Deputy Director","Lead the drive  to make the UK the destination of choice for life sciences research and investment to improve patient outcomes and contribute to economic growth","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT-2351","0","1.00","0","0","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-034","N/D","SCS1","Principal Private Secretary to the Secretary of State","'The provision of direct advice to Ministers; and management of Ministers' private offices'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO2185","1711137","1.00","85000","89999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO2185","Kristen McLeod","SCS2","Director - Strategy, Implementation and Planning","Responsible for - Supporting Ministers on a day-to-day basis and on their longer-term strategic thinking and implementation of priorities","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-005","843580","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-1876","ELIMINATED","SCS1","Deputy Director Genomics, science and emerging technologies","Science advice & policy on Regenerative and stratified medicine as well as Horizon scanning related to emerging technology.","Department of Health","Department of Health","Public Health and International Directorate","N/A","N/D","PHD-068","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-1878","N/D","SCS1","Deputy Director - Screening and sexual health","Responsible for: screening and sexual health","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-068","419033","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-1913","N/D","SCS1","Deputy Director Portfolio Management","Deputy Director Portfolio Management","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-068","499449","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2362","N/D","SCS1","Deputy Director - Digital Transformation and Services","Information and Digital Services - Digital Transformation and Services","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-010","1050662","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-045","N/D","SCS1","Deputy Director - Professional Standards","'Delivering professional regulation in a way that reinforces quality.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-1945","1181286","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-053","N/D","SCS1","Deputy Director, HR Service Delivery","Responsible for HR Service Delivery","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-014","1020077","1.00","85000","89999","","Human Resources","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-120","N/D","SCS1","Deputy Director Strategy Group","'Provide support to DH and its Arm's Length Bodies to address the medium to long term strategic challenge. Build strategic and horizon scanning capabilities across DH'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO2185","789768","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-065","N/D","SCS1","Deputy Director -Health Protection Programmes","Responsible for: All health protection programmes, such as Ebola,","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-020","530650","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-072","N/D","SCS1","Head of EU and Global Affairs","'Responsible for: European Affairs EEA Medical Costs budget Global Health Strategy / WHO.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-017","1205432","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-082","N/D","SCS1","Deputy Director - Quality & Safety","'Leadership of the Dignity and Safety branch, which focuses on policies with a common theme of promoting the safety of service users and improving their experience of people who receive services, including Safeguarding (including the Vetting and Barring Scheme and Mental Capacity Act); Big Society; Law Commission and Social Care legislation planning. '","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-023","560984","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-PICD-107","N/D","SCS1","Deputy Director Procurement","Responsible for the core service to procure all third party goods and services on behalf of the Department. Providing specialist commercial advice, standards and guidance on procurement to a range of DH stakeholders.

In addition, reform the procurement operating model in line with Cabinet Office Commercial Capability Review recommendations and the DH Corporate Services Improvement Programme.
Support DH sponsorship and assurance of commercially active Arms’ Length Bodies in complex, high value and high risk procurements, with responsibility for Management Information and reporting to DH Executive Committee, and Government Commercial Function.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-033","2112125","1.00","85000","89999","","Procurement","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-078","N/D","SCS1","Deputy Director -Learning Disability & Autism","'Responsible for: Policy on services for disabled adults, including: provision of community equipment, assistive technology cross-government working on independent living/equality Valuing People Now Programme Autism Strategy Programme user-led organisations Briefing and support to ministers on the above.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-026","624589","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-054","N/D","SCS1","Deputy Director Strategic Planning Unit","'Responsible for - Leading the ALB Sponsorship Support Unit to enable the Department’s sponsor teams to deliver the Government’s health and care priorities effectively, efficiently, and with regard to value for money through the ALBs. Improving and embedding processes to publish an annual DH Corporate Pla, aligned more closely with our ALB partners, and implementing quarterly monitoring; leading the Departmental improvement planning process. Overseeing the process of public appointments of chairs and non-executives to ALBs.'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO2185","878860","1.00","85000","89999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"SC2253","N/D","SCS1","Deputy Director Work & Health Joint Unit","Work & Health joint unit with DWP","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-003","0","1.00","85000","89999","","Policy","Cost of reports added to SC-003 http://guidance.data.gov.uk/organogram-data.html","1"
"FN-PICD-125","N/D","SCS1","Deputy Director for Property","Oversight of two major Property Companies, which between them own nearly 4,000 mainly operational NHS properties and the provision of commercial advice and guidance to major hospital redevelopment schemes.  Management of the SofS portfolio of residual property rights, selling assets where possible, realising value from associated rights and managing substantial lease liabilities.  Responsible for the P21/22 Procurement.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-033","1446301","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-100","N/D","SCS1","Deputy Director - Senior Economic Advisor","'Responsible for providing economic analysis and advice, economic modelling and statistical advice across the Divisions policy interests.'","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-028","686873","1.00","85000","89999","","Economics","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-1951","N/D","SCS1","Deputy Director Workforce Development Strategy","'Ensuring appropriate workforce planning and development in relation to delivery of education.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-011","875065","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-PICD-108","N/D","SCS1","Deputy Director for Commercial Policy","Deputy Director for Commercial Policy","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN140","0","1.00","85000","89999","","Procurement","Cost of reports added to FN140 http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2353","N/D","SCS1","Deputy Director - External Partnerships","External Partnerships","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-010","500518","0.60","50000","54999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-036","ELIMINATED","SCS1","Deputy Director - CQC Sponsorship/Quality Regulation and DH Investigations","'Supporting the alignment of quality assurance processes across the sector, supporting effective sponsorship of CQC, and developing their legislative and policy framework'","Department of Health","Department of Health","Strategy and External Relations","N/A","N/D","SER-1945","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PSF042","ELIMINATED","SCS1","Deputy Director - HR Business Change","Responsible for - Supporting the Corporate Services Improvement Programme'","Department of Health","Department of Health","Finance & NHS","N/A","N/D","IGO-014","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-061","N/D","SCS1","Deputy Director Human Tissue,Embryology and Assisted Reproduction","Deputy Director Human Tissue,Embryology and Assisted Reproduction","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-068","408052","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"RDD-040","N/D","SCS1","Deputy Director - Sponsorship, Performance and Workforce","Responsible for - making it easier and faster to start and deliver research in the NHS, including through NIHR incentives for NHS performance and supporting and holding to account the Health Research Authority for delivery of HRA approval; developing NIHR leadership and providing oversight of NIHR efforts to develop and support the next generation of clinical and applied health researchers;sponsoring the HRA;leading for RDD on our engagement with other DH ALBs to support the NHS to engage in research","Department of Health","Department of Health","Research & Development Directorate","020 7210 4850","N/D","RDD-009","0","1.00","85000","89999","","Policy","Cost of reports added to RDD-009 http://guidance.data.gov.uk/organogram-data.html","1"
