"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"DWP34","N/D","SCS1","Deputy Director, Housing Delivery","The team supports the delivery of Housing Benefit and Council Tax Benefit, allocating and managing the DWP funding to local authorities. We analyse performance data and support local authorities in improving their delivery. We support local authority housing costs teams in preparing for the changes that Universal Credit and welfare reform will bring.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP305","3481517","1.00","70000","74999","","Finance","","1"
"DWP455","Charu Gorasia","SCS2","Financial Controller","Financial Control provides regular financial and performance reports to business partners, enabling them to support the business to manage resources, control costs and drive performance.We produce the Department’s Resource Accounts; advise on risk and control; provide banking services, resolve payment issues and manage the relationship with the department’s shared service provider","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","16105509","1.00","100000","104999","","Finance","","1"
"DWP457","N/D","SCS1","Deputy Director for Portfolio, Analysis & Assurance","Responsible for scrutinising departmental programmes, agree funding & monitor expenditure against agreed targets","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP456","0","1.00","65000","69999","","Finance","","1"
"DWP341","N/D","SCS1","Deputy Director of Finance & Corporate Strategy","Finance support to Finance Business Partner support to Commercial Director Andrew Forzani and Commercial Directorate Senior Management Team.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP305","0","1.00","70000","74999","","Finance","","1"
"DWP406","N/D","SCS1","Deputy Director Departmental Reporting & Governance","DRG leads on assurance and reporting, internal and external across all Departmental activity. It draws together performance information to inform regular assurance updates to ET, as well as performance reporting to the centre; CO and HMT. The team also produces the story explaining the Department’s performance in the published annual report and accounts and mid-year report, and sets out our plans going forward in the Single Departmental Plan","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP456","0","0.86","70000","74999","","Finance","","1"
"DWP307","N/D","SCS1","Head of Provision Performance & Controls Division","The Provision Performance & Controls Division exists to improve provider performance and to set our future strategy for contracting, as well as providing support to existing provision. The Division is responsible for:- (1) The implementation of DWP’s commissioning and market strategy for contracted employment provision including localisation; (2) The performance and financial allocations for third party provision; (3) The monitoring and performance improvement of contracted employment provision including inspection and other assurance and (4) Analytical work across the commissioning and delivery cycle.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","6439656","1.00","70000","74999","","Finance","","1"
"DWP367","N/D","SCS1","Head of Change, Policy and Planning Division","The Change, Policy and Planning Division brings together Contracted Employment Provision (CEP) operational policy, official correspondence, planning and change into a single division. The Division is responsible for Programme Management office of CEP Directorate; official correspondence; working with partners and key stakeholders to improve the design and delivery of provision; the DWP Co-Financing operation for the European Social Fund programmes 2007 – 2013; DWP Opt – In Organisation policy for the European Social Fund 2014 – 2020 programme and  Change assessment for CEP and Change Support as well as contract changes","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","0","1.00","70000","74999","","Finance","","1"
"DWP96","N/D","SCS1","Head of Risk Management Division","Providing advice support and challenge to business leaders in the area of risk management and internal control and reporting levels of compliance with key internal policies to provide assurance that the system of internal control is effective.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP456","0","1.00","95000","99999","","Finance","","1"
"DWP107","N/D","SCS1","Deputy Director Change Finance","Providing finance business partner support to DWP Change programmes","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP305","0","1.00","75000","79999","","Finance","","1"
"DWP515","N/D","SCS1","Deputy Director Digital Finance","Providing finance business partner support to DWP Digital Group","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP305","0","1.00","100000","104999","","Finance","","1"
"DWP112","N/D","SCS1","Head of Finance Systems and Infrastructure","Our core aim is to protect and manage the Department's payment processes. We have ownership of Payment processes, including Central Payment System (processing £140b annually). Engagement with Change Programmes, ensuring incorporation of Finance requirements. We protect claimants by supporting resolution of payment issues. Includes bank payments and transfers; third party deductions and control of payment files. We act as the Single Point Of Contact (SPOC) to Shared Services in coordinating and prioritising change. Also handles Information Asset Co-ordination for Finance.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP455","0","1.00","70000","74999","","Finance","","1"
"DWP325","N/D","SCS1","Finance Group Transformation Director","Transforming how Finance Group will operate in the future","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","621400","1.00","70000","74999","","Finance","","1"
"DWP99","Peter Schofield","SCS3","Director General, Finance and Chief Financial Officer","Responsible for financial planning, performance management, procurement, estates provision, investment portfolio and risk assurance across the Department. Responsible for the financial control environment for benefit payments totalling over £150 billion and for the departmental financial management processes controlling a Departmental Expenditure limit of £7.8 billion. Holds direct budgetary responsibility for an operating and capital budget of £600m.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP135","11031061","1.00","145000","149999","","Finance","","1"
"DWP115","N/D","SCS1","Deputy Director Operational Finance, Universal Credit and Benefit Services Delivery","To provide professional, evidence based, decision making support, challenge and professional advice to the Directorate on all aspects of financial management, performance and risk. This is achieved by leading and coordinating on a range of business disciplines – Financial Management and Control, Performance Management, risk management and oversight of assurance and Governance.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP305","0","1.00","80000","84999","","Finance","","1"
"DWP88","N/D","SCS1","Head of Business Intelligence","BI aims to be the single trusted source for the Department’s financial, performance and productivity information. We source data from across the Department and turn it into intelligent and intuitive information that supports DWP","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP455","0","0.92","75000","79999","","Finance","","1"
"DWP82","N/D","SCS1","Deputy Director, Head of Provision Performance & Controls Division","Leads a Directorate with three primary functions: a) understand and drive the performance of contracted employment provision; b) to operate a sound control environment for this provision; and c) to support and shape the development of new strategy and change affecting contracted employment provision. This is achieved by working closely with colleagues across DWP Finance Group, Strategy, Policy and Analysis Group and Operations as well as a wide range of stakeholders across Government and externally.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","4149855","1.00","70000","74999","","Finance","","1"
"DWP456","Phillip Wells","SCS2","Director for Departmental Planning Performance Management","Manages the departments relationship with HM Treasury and manages departmental spending plans","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","5918938","1.00","100000","104999","","Finance","","1"
"DWP519","N/D","SCS1","Deputy Director - Health Services Directorate - HDAS Contracts","Management of the delivery and performance of medical services contracts","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","0","1.00","0","0","","Finance","Team is too small, costs have been reported under (DWP99)","1"
"DWP514","N/D","SCS1","Employment Account Director","Employment brings together Provision performance management into a single unit. The Division is responsible for maximising job outcomes and the quality of service","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP99","2858374","1.00","0","0","","Finance","","1"
"DWP362","N/D","SCS1","Head of Universal Credit Operational Delivery","Responsible for delivery of Universal Credit customer-facing services","Department for Work and Pensions","Department for Work and Pensions","Operations - Universal Credit","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP317","1226029","1.00","70000","74999","","Operational Delivery","","1"
"DWP394","N/D","SCS1","Head of Universal Credit Live Operations","Responsible for the National network of Universal Credit  Service Centres and the safe delivery of the Universal Credit through those Service Centres and in line with the agreed rollout schedule.","Department for Work and Pensions","Department for Work and Pensions","Operations - Universal Credit","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP317","125434714","1.00","70000","74999","","Operational Delivery","","1"
"DWP135","Robert Devereux","SCS4","Permanent Secretary","Overall leadership of the Department, and its day to day operations and the Government's programme of major reform.","Department for Work and Pensions","Department for Work and Pensions","Private Office","020 7449 7720","legal@dwp.gsi.gov.uk","XX","0","1.00","185000","189999","","Policy","","1"
"DWP157","N/D","SCS1","Principal Private Secretary to the Secretary of State for Work and Pensions & Head of DWP Private Office","Provision of advice & support to the Secretary of State, Departmental Ministers, the Permanent Secretary & leading the running of Ministerial & Non Ministerial teams in Private Office","Department for Work and Pensions","Department for Work and Pensions","Private Office","020 7449 7720","legal@dwp.gsi.gov.uk","DWP135","1801633","1.00","70000","74999","","Policy","","1"
"DWP428","N/D","SCS1","Deputy Director for Pensions Services","Responsible for the Technology systems that support delivery of the Department’s Pension Services. The Deputy Director role is to develop and continually improve technology; deliver integrated solutions through a digital approach; deliver technology components of projects and programs; manage the transition of IT change into live service and then maintain running of that service; manage the supply of suitably skilled people to drive the delivery of Technology change, project standards and excellence","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP354","1386203","1.00","80000","84999","","Information Technology","","1"
"DWP359","Aleksei Doroshko","SCS2","Head of Research","Leading research of infrastructure  and software improvement opportunities through the analysis of policies, processes, procedures and capabilities that provides rich research data to enable the organisation to set strategic priorities and make decisions","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","0","1.00","135000","139999","","Information Technology","","1"
"DWP506","N/D","SCS1","Head of Tech Lab","Deliver persona based multi-factor authentication (MFA), future digital workplace design, secure Mac OSX enterprise build and future workspace design with roadmap
Deliver monthly TechTalk to inspire Tech Group colleagues","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP522","0","1.00","85000","89999","","Information Technology","","1"
"DWP361","N/D","SCS1","Deputy Director, Head of Live Service Management for Working Age and Child Maintenance (WA&CM)","Responsible for leading the service management activities required to support the broad range of Production Services in WA&CM and ensuring these meet the needs of the Senior Responsible Owner, improving these services through innovative and agile techniques.   Responsible for leading a number of teams that will together deliver performant, available services with the right functionality - generating high end-user satisfaction; delivering these services leveraging in-house, outsourced, cross-Technology capabilities and functions; ensuring changes are evaluated, planned and tested to sufficiently protect production services.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP344","0","1.00","70000","74999","","Information Technology","","1"
"DWP426","N/D","SCS1","Deputy Director, BPDTS RUN Operations Lead","Responsible for BPDTS Operations Run to maintain services delivered by DWP Digital Group","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP344","0","1.00","85000","89999","","Information Technology","","1"
"DWP416","N/D","SCS1","Head of Portfolio and Delivery Assurance","Accountable for  ensuring investment decisions match Digital Group’s strategic objectives, delivery risks and dependencies are effectively managed whilst performance is optimised and expenditure is appropriately governed.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP240","0","1.00","65000","69999","","Information Technology","","1"
"DWP364","N/D","SCS1","Head of Service Architecture","Supporting product owners design and deliver transformation digital services to deliver policy and project goals. Supporting the translation of business architecture into a deliverable and operating service designs and architectures","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP270","0","1.00","105000","109999","","Information Technology","","1"
"DWP425","N/D","SCS1","Data Science","Responsible for embedding analytics dynamically into the business and to deliver data driven products which meet current and future user needs, with the aim of achieving efficient delivery of high quality, user-centric digital services","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP148","0","1.00","110000","114999","","Information Technology","","1"
"DWP280","N/D","SCS1","Head of Security Policy and Resilience","To provide security policy, strategies and services to the Department, and to ensure that there are effective continuity plans for all major risks to the business.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","3815970","1.00","70000","74999","","Information Technology","","1"
"DWP270","CRAIG EBLETT","SCS2","Director of Digital Working Age","Delivery of IT infrastructure & security capabilities in support of Working Age & Universal Credit","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","13257532","1.00","120000","124999","","Information Technology","","1"
"DWP420","N/D","SCS1","Dataworks Lead","Responsible for the delivery of Data Works platform and claimant ID&V services.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP270","0","1.00","115000","119999","","Information Technology","","1"
"DWP50","N/D","SCS1","Head of Solution Architecture","Head of Architecture Profession and leads the Architect recruitment experience                                                                                                                              
Solution design roadmaps for all services integrated into Wardley Maps updated quarterly 
Separate re-usable platforms from dedicated solution design
Set out job family career paths, L&D interventions and accreditations","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP205","0","1.00","80000","84999","","Information Technology","","1"
"DWP159","N/D","SCS1","Deputy Director, Head of Knowledge and Information Management","Knowledge and Information Management enables the DWP to use the information it is responsible for effectively and lawfully. When it is appropriate the Division facilitates the release of information into the public domain. Its centres of expertise also ensure the Department’s stewardship teams exercise appropriate oversight over DWP's Non–Departmental Public Bodies and support DWP in developing successful relationships with the UK’s devolved governments in Scotland, Wales and Northern Ireland. Additionally the Division's governance policies and assurance controls ensure Departmental accountabilities are defined, assurance controls are thorough and challenged, following best practice and mandatory policy.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","0","1.00","85000","89999","","Information Technology","","1"
"DWP501","N/D","SCS1","Head of Hybrid Cloud","Responsible for the design, build and delivery of our hosting services offering across the Digital Group.  
Responsible for providing a consolidation of all hosted services; Public cloud, Private cloud, legacy hosting services both in Crown Hosting and managed service providers, to transform services, meeting our architectural principles and requirements from projects and PDU’s.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP205","0","1.00","90000","94999","","Information Technology","","1"
"DWP262","N/D","SCS1","Head of Intelligent Use of Data Programme","DWP Insight develops and leverages our comprehensive understanding of the needs and behaviours of our service users (claimants, customers, staff, empoyers, intermediaries) in order to ensure the Department: - drives behaviour change to achieve the stated policy and service outcomes and creates more effective policies and services minimising cost to the Department, its users and the taxpayer.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP148","0","1.00","75000","79999","","Information Technology","","1"
"DWP153","N/D","SCS1","Information and Data Services","Maximise, securely the use of information and data to support the operational delivery of Departmental functions and wider government activities.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP148","0","1.00","80000","84999","","Information Technology","","1"
"DWP381","N/D","SCS1","Head of Programme Leadership","Owns the transition of SSBA and other large scale programmes, whilst also leading negotiations with suppliers to deliver cost savings and improved performance. Ownership of transition of  and leading negotiation of suppliers and driving performance, Technical transition from SSBA to future state, active leadership and negotiation of suppliers in sustainable relationships through greater cost transparency.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP205","700446","1.00","75000","79999","","Information Technology","","1"
"DWP430","N/D","SCS1","Deputy Director Health and Disability Services","Responsible for the Technology systems that support delivery of the Department’s Health and Disability Services. The Deputy Director role is to develop and continually improve technology; deliver integrated solutions through a digital approach; deliver technology components of projects and programs; manage the transition of IT change into live service and then maintain running of that service; manage the supply of suitably skilled people to drive the delivery of Technology change, project standards and excellence","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP354","0","1.00","85000","89999","","Information Technology","","1"
"DWP508","N/D","SCS1","Deputy Director Channel Platforms","The successful delivery of the contract centre transition to the new platform; Modernising and delivering reliable, secure, real time digital contact centre services; Building and exploiting current and emerging omni-channel digital contact centre technology services; the performance, development and well-being of a number of products teams operating in an agile delivery environment; building common platforms and open APIs to be used across DWP and available across and beyond government; the service performance of digital contact centre technology services","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP77","0","1.00","105000","109999","","Information Technology","","1"
"DWP413","N/D","SCS1","Head of Cyber Resiliene Centre","The Head of Security Operations is responsible for ensuring provision and analysis of intelligence to in order to protect DWP and it's customers from cyber attack.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","3685989","1.00","110000","114999","","Information Technology","","1"
"DWP205","Juan Villamil","SCS2","Director Infrastructure and Operations Services","I lead the development and implementation of the IT infrastructure and its operations","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","7636490","1.00","150000","154999","","Information Technology","","1"
"DWP39","N/D","SCS1","UC Live Service Technology Lead","Responsible for leading the end to end delivery of a portfolio of  projects and programmes within the Universal Credit functional area ensuring these meet the needs of the Senior Responsible Owner. Responsible for leading and building technical capability and expertise  in a  number of teams that will design, develop, build and test secure technology solutions for a portfolio of current and future application development services across Universal Credit working with a range of internal and external suppliers.  Responsible for increasing capability in digital / cloud / tooling / methodologies to support the aspiration for DWP to become a ‘Digital by Default’ organization, through a balance of up-skilling and recruitment. Responsible for associated Financial and Commercial aspects ensuring VFM .","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP270","0","1.00","70000","74999","","Information Technology","","1"
"DWP77","KENNY ROBERTSON","SCS2","Technology Director, Digital Workplace & technology PlatformsEnd User Computing & Support","Responsible for the Digital Workplace used by our 90,000 staff on a daily basis and for providing the Technology Platforms which suppport our live systems. i.e. UC, Child Maintenance, Pensions ETC.
Transform collaboration & communication services for DWP. Providing a virtual desktop & mobile service to ensure access to all applications needed by users to perform their roles. Modernising Technology Platforms to extend their lifetime and to help citizens to help themselves on digital channels.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","12535286","1.00","140000","144999","","Information Technology","","1"
"DWP419","N/D","SCS1","UCFS Data Lead","Responsible for the delivery of Data Works MI outcomes.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP270","0","1.00","65000","69999","","Information Technology","","1"
"DWP414","N/D","SCS1","Head of Digital Business Partnering","Accountable for implementing an effective Business Partner Network within Digital Group and wider DWP to improve the credibility of Digital Group, create a greater shared understanding of our role and purpose, increase visibility and transparency of decision making and the delivery portfolio and ensure we are focused on resolution of end user issues, leading to an improvement in the staff survey result for access to digital products that enable effective working.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP240","0","1.00","70000","74999","","Information Technology","","1"
"DWP329","N/D","SCS1","IT Digital Capability Delivery Manager","To define, establish and operate digital delivery capability within IT, covering all aspects of skills, people, locations, infrastructure, tools and standards.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP270","0","1.00","95000","99999","","Information Technology","Team is too small, costs have been reported under (DWP270)","1"
"DWP59","Mayank Prakash","SCS3","Technology Director General & Chief Information Officer","Organise, direct & manage the Information Technology enablers for major business & operational initiatives of the Department for Work and Pensions.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP135","0","1.00","195000","199999","","Information Technology","","1"
"DWP303","N/D","SCS1","Deputy Director Shared Data Systems","Leads the management and stewardship of the citizen personal data needed to support front-line services in DWP and OGDs, primarily through the effective delivery of a stable and secure Customer Information System.  This group will also introduce new and expand/update existing IT systems and services in order to improve efficiency; increase flexibility and future proof/protect DWP IT services and capability. This will be achieved by continuing to deliver and maintain MOSAIC, the Records Storage project and EESSI. The group will also provide the means of exploiting the use of this data across government.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP77","0","1.00","80000","84999","","Information Technology","","1"
"DWP424","N/D","SCS1","Head of Domain Architecture","Refine the Technology Code of Practice and a set of proven architectural principles, policies and patterns which enable agile delivery of secure digital services. Establish and communicate digital blueprint to make Design Authority outcomes predictable.
Publish quarterly Tech Radar jointly with GDS","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP205","2495333","1.00","80000","84999","","Information Technology","","1"
"DWP421","N/D","SCS1","Deputy Director Head of Digital Workplace","The Digital Workplace is being rolled out to all DWP users over the coming 2 years. The Release team will coordinate each release to ensure an integrated user experience and embed the new ways of working within DWP.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP77","0","1.00","90000","94999","","Information Technology","","1"
"DWP271","N/D","SCS1","Head of Colloboration Services","Delivering and leading the collaboration services that we provide to all DWP colleagues. Connecting people, sharing knowledge and working better together. Overall responsibility for user experience, service, delivery and total cost of ownership in the following areas: Unified Communications, External Collaboration, Internal Collaboration, Internal Communications, Knowledge & Discovery and Change & Culture.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP77","0","1.00","70000","74999","","Information Technology","","1"
